,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
3225,Kepler-191 d,Kepler-191,5.94504102,Transit,0.0599,0.0,2.28,5.82,0.84
3236,Kepler-192 b,Kepler-192,9.926746,Transit,0.09,0.0,2.74,7.95,0.94
3237,Kepler-192 c,Kepler-192,21.2234,Transit,0.15,0.0,2.79,8.2,0.94
3238,Kepler-192 d,Kepler-192,6.47027579,Transit,0.0668,0.0,1.02,1.04,0.94
3262,Kepler-194 b,Kepler-194,2.092281,Transit,0.032,0.0,1.51,2.89,1.09
3263,Kepler-194 c,Kepler-194,17.308032,Transit,0.131,0.0,2.59,7.22,1.09
3264,Kepler-194 d,Kepler-194,52.814973,Transit,0.275,0.0,2.4,6.35,1.09
3287,Kepler-196 b,Kepler-196,20.739886,Transit,0.138,0.0,1.9,4.27,0.85
3288,Kepler-196 c,Kepler-196,47.427737,Transit,0.24,0.0,2.24,5.65,0.85
3289,Kepler-196 d,Kepler-196,122.0800018,Transit,0.4484,0.0,2.661,7.56,0.81
3300,Kepler-197 b,Kepler-197,5.599308,Transit,0.06,0.02,1.02,1.04,0.86
3301,Kepler-197 c,Kepler-197,10.349695,Transit,0.09,0.08,1.23,5.3,0.86
3302,Kepler-197 d,Kepler-197,15.677563,Transit,0.119,0.03,1.22,1.98,0.86
3303,Kepler-197 e,Kepler-197,25.209715,Transit,0.164,0.38,0.91,0.693,0.86
3310,Kepler-198 b,Kepler-198,17.790037,Transit,0.131,0.0,2.82,8.35,0.97
3311,Kepler-198 c,Kepler-198,49.567416,Transit,0.259,0.0,2.47,6.66,0.97
3312,Kepler-198 d,Kepler-198,1.31184443,Transit,0.0229,0.0,1.53,2.96,0.97
3320,Kepler-1987 b,Kepler-1987,2.345863,Transit,0.0318,0.0,1.23,2.04,0.8
3321,Kepler-1987 c,Kepler-1987,3.64830183,Transit,0.0427,0.0,1.33,2.33,0.8
3322,Kepler-1987 d,Kepler-1987,5.64491415,Transit,0.0571,0.0,2.66,7.56,0.8
3323,Kepler-1987 e,Kepler-1987,8.74292005,Transit,0.0765,0.0,1.92,4.35,0.8
3341,Kepler-20 b,Kepler-20,3.6961049,Transit,0.04565,0.083,1.773,9.7,0.93
3342,Kepler-20 c,Kepler-20,10.8540774,Transit,0.0936,0.076,2.894,11.1,0.93
3343,Kepler-20 d,Kepler-20,77.611455,Transit,0.3474,0.082,2.606,13.4,0.93
3344,Kepler-20 e,Kepler-20,6.0984882,Transit,0.0637,0.092,0.821,0.76,0.93
3345,Kepler-20 f,Kepler-20,19.578328,Transit,0.1387,0.094,0.952,1.4,0.93
3346,Kepler-20 g,Kepler-20,34.94,Radial Velocity,0.2055,0.15,4.71,19.96,0.95
3357,Kepler-203 b,Kepler-203,3.162697,Transit,0.043,0.0,2.57,7.13,1.0
3358,Kepler-203 c,Kepler-203,5.370647,Transit,0.061,0.0,2.47,749.9,1.0
3359,Kepler-203 d,Kepler-203,11.32972,Transit,0.1,0.0,1.44,33.9,1.0
3364,Kepler-206 b,Kepler-206,7.781987,Transit,0.078,0.0,1.2,1.87,1.05
3365,Kepler-206 c,Kepler-206,13.137471,Transit,0.111,0.0,1.77,3.78,1.05
3366,Kepler-206 d,Kepler-206,23.44281,Transit,0.163,0.0,1.19,1.81,1.05
3367,Kepler-207 b,Kepler-207,1.611865,Transit,0.029,0.0,1.57,3.09,1.04
3368,Kepler-207 c,Kepler-207,3.071571,Transit,0.044,0.0,1.5,2.86,1.04
3369,Kepler-207 d,Kepler-207,5.868075,Transit,0.068,0.0,3.31,11.0,1.04
3370,Kepler-208 b,Kepler-208,4.22864,Transit,0.054,0.0,1.63,3.29,1.16
3371,Kepler-208 c,Kepler-208,7.466623,Transit,0.079,0.0,1.39,2.51,1.16
3372,Kepler-208 d,Kepler-208,11.131786,Transit,0.103,0.0,1.2,1.87,1.16
3373,Kepler-208 e,Kepler-208,16.259458,Transit,0.132,0.0,1.48,2.79,1.16
3387,Kepler-215 b,Kepler-215,9.360672,Transit,0.084,0.0,1.62,3.26,0.94
3388,Kepler-215 c,Kepler-215,14.667108,Transit,0.113,0.0,1.77,3.78,0.94
3389,Kepler-215 d,Kepler-215,30.864423,Transit,0.185,0.0,2.39,23.6,0.94
3390,Kepler-215 e,Kepler-215,68.16101,Transit,0.314,0.0,1.75,3.71,0.94
3393,Kepler-217 b,Kepler-217,5.374943,Transit,0.065,0.0,2.23,5.6,1.14
3394,Kepler-217 c,Kepler-217,8.586004,Transit,0.089,0.0,1.85,4.08,1.14
3395,Kepler-217 d,Kepler-217,3.88689525,Transit,0.0505,0.0,1.32,2.3,1.37
3396,Kepler-218 b,Kepler-218,3.619337,Transit,0.046,0.0,1.48,2.79,1.02
3397,Kepler-218 c,Kepler-218,44.699576,Transit,0.248,0.0,3.14,10.0,1.02
3398,Kepler-218 d,Kepler-218,124.5244647,Transit,0.4865,0.0,2.66,7.56,1.01
3399,Kepler-219 b,Kepler-219,4.585512,Transit,0.057,0.0,2.95,9.01,1.17
3400,Kepler-219 c,Kepler-219,22.714613,Transit,0.165,0.0,3.58,12.5,1.17
3401,Kepler-219 d,Kepler-219,47.903645,Transit,0.272,0.0,2.81,19.1,1.17
3403,Kepler-220 b,Kepler-220,4.159807,Transit,0.046,0.0,0.81,0.457,0.73
3404,Kepler-220 c,Kepler-220,9.034199,Transit,0.076,0.0,1.57,3.09,0.73
3405,Kepler-220 d,Kepler-220,28.122397,Transit,0.163,0.0,0.98,0.904,0.73
3406,Kepler-220 e,Kepler-220,45.902733,Transit,0.226,0.0,1.33,2.33,0.73
3407,Kepler-221 b,Kepler-221,2.795906,Transit,0.037,0.0,1.71,3.57,0.82
3408,Kepler-221 c,Kepler-221,5.690586,Transit,0.059,0.0,2.93,15.1,0.82
3409,Kepler-221 d,Kepler-221,10.04156,Transit,0.087,0.0,2.73,7.9,0.82
3410,Kepler-221 e,Kepler-221,18.369917,Transit,0.13,0.0,2.63,7.41,0.82
3411,Kepler-222 b,Kepler-222,3.936981,Transit,0.048,0.0,3.16,10.1,0.88
3412,Kepler-222 c,Kepler-222,10.08881,Transit,0.091,0.0,4.64,19.4,0.88
3413,Kepler-222 d,Kepler-222,28.081912,Transit,0.18,0.0,3.69,13.2,0.88
3414,Kepler-223 b,Kepler-223,7.38449,Transit,0.0756,0.078,2.99,7.4,1.12
3415,Kepler-223 c,Kepler-223,9.84564,Transit,0.0916,0.15,3.44,5.1,1.12
3416,Kepler-223 d,Kepler-223,14.78869,Transit,0.1201,0.037,5.24,8.0,1.12
3417,Kepler-223 e,Kepler-223,19.72567,Transit,0.1455,0.051,4.6,4.8,1.12
3418,Kepler-224 b,Kepler-224,3.132924,Transit,0.038,0.0,1.39,2.51,0.82
3419,Kepler-224 c,Kepler-224,5.925003,Transit,0.058,0.0,3.12,9.91,0.82
3420,Kepler-224 d,Kepler-224,11.349393,Transit,0.089,0.0,2.3,5.9,0.82
3421,Kepler-224 e,Kepler-224,18.643577,Transit,0.124,0.0,1.97,4.54,0.82
3424,Kepler-226 b,Kepler-226,3.940997,Transit,0.047,0.0,1.55,24.0,0.91
3425,Kepler-226 c,Kepler-226,5.349555,Transit,0.058,0.0,2.27,45.2,0.91
3426,Kepler-226 d,Kepler-226,8.109044,Transit,0.076,0.0,1.22,1.98,0.91
3429,Kepler-228 b,Kepler-228,2.566546,Transit,0.038,0.0,1.53,2.96,0.95
3430,Kepler-228 c,Kepler-228,4.134444,Transit,0.052,0.0,2.7,7.75,0.95
3431,Kepler-228 d,Kepler-228,11.094286,Transit,0.101,0.0,4.04,15.4,0.95
3432,Kepler-229 b,Kepler-229,6.252972,Transit,0.062,0.0,2.2,5.48,0.8
3433,Kepler-229 c,Kepler-229,16.068638,Transit,0.117,0.0,4.92,21.5,0.8
3434,Kepler-229 d,Kepler-229,41.194912,Transit,0.22,0.0,3.85,14.2,0.8
3435,Kepler-23 b,Kepler-23,7.1,Transit,0.0733,0.017,1.638,2.56,1.08
3436,Kepler-23 c,Kepler-23,10.74,Transit,0.0965,0.021,3.005,7.81,1.08
3437,Kepler-23 d,Kepler-23,15.27,Transit,0.122,0.01,2.206,4.44,1.08
3448,Kepler-235 b,Kepler-235,3.340222,Transit,0.037,0.0,2.23,5.6,0.58
3449,Kepler-235 c,Kepler-235,7.824904,Transit,0.065,0.0,1.28,2.18,0.58
3450,Kepler-235 d,Kepler-235,20.060548,Transit,0.122,0.0,2.05,4.86,0.58
3451,Kepler-235 e,Kepler-235,46.183669,Transit,0.213,0.0,2.22,5.56,0.58
3456,Kepler-238 b,Kepler-238,2.090876,Transit,0.034,0.0,1.73,3.64,1.06
3457,Kepler-238 c,Kepler-238,6.155557,Transit,0.069,0.0,2.39,6.3,1.06
3458,Kepler-238 d,Kepler-238,13.233549,Transit,0.115,0.0,3.07,9.64,1.06
3459,Kepler-238 e,Kepler-238,23.654,Transit,0.1658,0.0,5.6,169.7,1.06
3460,Kepler-238 f,Kepler-238,50.447,Transit,0.2747,0.0,2.0,13.5,1.06
3463,Kepler-24 b,Kepler-24,8.14,Transit,0.076,0.023,2.348,11.14,1.06
3464,Kepler-24 c,Kepler-24,12.33,Transit,0.1003,0.014,2.514,9.99,1.06
3465,Kepler-24 d,Kepler-24,4.244384,Transit,0.051,0.0,1.67,3.43,0.98
3466,Kepler-24 e,Kepler-24,18.998355,Transit,0.138,0.0,2.78,8.15,0.98
3475,Kepler-244 b,Kepler-244,4.311792,Transit,0.05,0.0,2.76,8.05,0.96
3476,Kepler-244 c,Kepler-244,9.767292,Transit,0.087,0.0,2.05,4.86,0.96
3477,Kepler-244 d,Kepler-244,20.050401,Transit,0.14,0.0,2.31,15.2,0.96
3478,Kepler-245 b,Kepler-245,7.49019,Transit,0.071,0.0,2.57,7.13,0.86
3479,Kepler-245 c,Kepler-245,17.460812,Transit,0.124,0.0,2.18,225.6,0.86
3480,Kepler-245 d,Kepler-245,36.277108,Transit,0.202,0.0,3.03,21.6,0.86
3481,Kepler-245 e,Kepler-245,3.21982106,Transit,0.04,0.0,1.75,3.71,0.86
3484,Kepler-247 b,Kepler-247,3.33616,Transit,0.042,0.0,1.64,3.33,0.84
3485,Kepler-247 c,Kepler-247,9.439452,Transit,0.084,0.0,4.09,15.7,0.84
3486,Kepler-247 d,Kepler-247,20.477912,Transit,0.14,0.0,3.94,14.7,0.84
3489,Kepler-249 b,Kepler-249,3.306539,Transit,0.035,0.0,1.09,1.32,0.51
3490,Kepler-249 c,Kepler-249,7.113702,Transit,0.058,0.0,1.51,2.89,0.51
3491,Kepler-249 d,Kepler-249,15.368459,Transit,0.097,0.0,1.57,3.09,0.51
3492,Kepler-25 b,Kepler-25,6.238297,Transit,0.069445,0.0029,2.748,8.7,1.17
3493,Kepler-25 c,Kepler-25,12.7207,Transit,0.111666,0.0061,5.217,15.2,1.17
3494,Kepler-25 d,Kepler-25,122.4,Radial Velocity,0.416422,0.13,10.0,71.9,1.17
3495,Kepler-250 b,Kepler-250,4.148141,Transit,0.048,0.0,1.13,1.51,0.83
3496,Kepler-250 c,Kepler-250,7.156804,Transit,0.069,0.0,2.28,5.82,0.83
3497,Kepler-250 d,Kepler-250,17.648312,Transit,0.127,0.0,2.18,5.39,0.83
3498,Kepler-251 b,Kepler-251,4.790936,Transit,0.053,0.0,1.33,2.33,0.95
3499,Kepler-251 c,Kepler-251,16.514043,Transit,0.122,0.0,2.77,8.1,0.95
3500,Kepler-251 d,Kepler-251,30.133001,Transit,0.182,0.0,2.77,8.1,0.95
3501,Kepler-251 e,Kepler-251,99.640161,Transit,0.404,0.0,2.77,8.1,0.95
3504,Kepler-253 b,Kepler-253,3.783986,Transit,0.046,0.0,1.63,3.29,0.85
3505,Kepler-253 c,Kepler-253,10.281951,Transit,0.089,0.0,2.65,7.51,0.85
3506,Kepler-253 d,Kepler-253,18.119869,Transit,0.13,0.0,3.17,10.2,0.85
3507,Kepler-254 b,Kepler-254,5.826662,Transit,0.064,0.0,3.87,14.3,0.93
3508,Kepler-254 c,Kepler-254,12.412183,Transit,0.105,0.0,2.15,3.2,0.93
3509,Kepler-254 d,Kepler-254,18.746477,Transit,0.139,0.0,2.5,6.8,0.93
3510,Kepler-255 b,Kepler-255,5.714606,Transit,0.063,0.0,1.55,3.02,0.87
3511,Kepler-255 c,Kepler-255,9.946047,Transit,0.092,0.0,2.99,9.22,0.87
3512,Kepler-255 d,Kepler-255,1.04562266,Transit,0.0192,0.0,1.32,2.3,0.9
3513,Kepler-256 b,Kepler-256,1.620493,Transit,0.027,0.0,1.59,3.15,0.97
3514,Kepler-256 c,Kepler-256,3.38802,Transit,0.045,0.0,2.15,5.27,0.97
3515,Kepler-256 d,Kepler-256,5.839172,Transit,0.064,0.0,2.48,6.71,0.97
3516,Kepler-256 e,Kepler-256,10.681572,Transit,0.096,0.0,2.35,6.12,0.97
3517,Kepler-257 b,Kepler-257,2.382667,Transit,0.034,0.0,2.61,7.32,0.85
3518,Kepler-257 c,Kepler-257,6.581484,Transit,0.066,0.0,5.41,25.2,0.85
3519,Kepler-257 d,Kepler-257,24.664551,Transit,0.16,0.0,4.95,21.7,0.85
3524,Kepler-26 b,Kepler-26,12.28,Transit,0.08551,0.021,2.78,5.12,0.54
3525,Kepler-26 c,Kepler-26,17.2559,Transit,0.10725,0.013,2.72,6.2,0.54
3526,Kepler-26 d,Kepler-26,3.543919,Transit,0.039,0.0,1.07,1.24,0.62
3527,Kepler-26 e,Kepler-26,46.827915,Transit,0.22,0.0,2.41,6.39,0.62
3538,Kepler-265 b,Kepler-265,6.846262,Transit,0.069,0.0,1.86,4.12,0.98
3539,Kepler-265 c,Kepler-265,17.028937,Transit,0.127,0.0,2.63,7.41,0.98
3540,Kepler-265 d,Kepler-265,43.130617,Transit,0.236,0.0,2.49,6.76,0.98
3541,Kepler-265 e,Kepler-265,67.831024,Transit,0.319,0.0,2.59,7.22,0.98
3544,Kepler-267 b,Kepler-267,3.353728,Transit,0.037,0.0,1.98,37.9,0.54
3545,Kepler-267 c,Kepler-267,6.87745,Transit,0.06,0.0,2.13,5.18,0.54
3546,Kepler-267 d,Kepler-267,28.464515,Transit,0.154,0.0,2.27,5.77,0.54
3551,Kepler-27 b,Kepler-27,15.3348,Transit,0.118,0.0,4.0,2895.31,0.65
3552,Kepler-27 c,Kepler-27,31.3309,Transit,0.191,0.0,4.9,4385.87,0.65
3553,Kepler-27 d,Kepler-27,6.54628992,Transit,0.0668,0.0,2.706,7.78,0.93
3556,Kepler-271 b,Kepler-271,10.43547805,Transit,0.0881,0.0,1.23,2.04,0.9
3557,Kepler-271 c,Kepler-271,7.41086267,Transit,0.0702,0.0,0.95,0.809,0.9
3558,Kepler-271 d,Kepler-271,5.24972541,Transit,0.0558,0.0,0.66,0.219,0.9
3559,Kepler-272 b,Kepler-272,2.971353,Transit,0.038,0.0,1.43,78.0,0.86
3560,Kepler-272 c,Kepler-272,6.057342,Transit,0.061,0.0,1.79,97.8,0.86
3561,Kepler-272 d,Kepler-272,10.937304,Transit,0.091,0.0,2.25,5.69,0.86
3566,Kepler-275 b,Kepler-275,10.300682,Transit,0.098,0.0,2.34,6.08,1.16
3567,Kepler-275 c,Kepler-275,16.088134,Transit,0.132,0.0,3.38,11.4,1.16
3568,Kepler-275 d,Kepler-275,35.676062,Transit,0.224,0.0,3.33,11.1,1.16
3569,Kepler-276 b,Kepler-276,14.12841,Transit,0.119,0.0,2.87,8.6,1.04
3570,Kepler-276 c,Kepler-276,31.884,Transit,0.1994,0.0,2.9,16.6,1.1
3571,Kepler-276 d,Kepler-276,48.648,Transit,0.2642,0.0,2.8,16.3,1.1
3576,Kepler-279 b,Kepler-279,12.309681,Transit,0.112,0.0,3.62,12.8,1.16
3577,Kepler-279 c,Kepler-279,35.736,Transit,0.2236,0.0,4.3,49.4,1.1
3578,Kepler-279 d,Kepler-279,54.414,Transit,0.2901,0.0,3.1,37.5,1.1
3583,Kepler-281 b,Kepler-281,14.646008,Transit,0.117,0.0,2.82,8.35,0.95
3584,Kepler-281 c,Kepler-281,36.337373,Transit,0.215,0.0,5.31,24.4,0.95
3585,Kepler-281 d,Kepler-281,148.2720032,Transit,0.5456,0.0,5.937,29.5,0.98
3586,Kepler-282 b,Kepler-282,9.220524,Transit,0.082,0.0,1.01,1.01,0.79
3587,Kepler-282 c,Kepler-282,13.638723,Transit,0.106,0.0,1.2,1.87,0.79
3588,Kepler-282 d,Kepler-282,24.806,Transit,0.154,0.0,2.46,61.0,0.97
3589,Kepler-282 e,Kepler-282,44.347,Transit,0.2269,0.0,3.1,56.2,0.97
3596,Kepler-286 b,Kepler-286,1.796302,Transit,0.027,0.0,1.24,2.07,0.96
3597,Kepler-286 c,Kepler-286,3.468095,Transit,0.042,0.0,1.37,2.45,0.96
3598,Kepler-286 d,Kepler-286,5.914323,Transit,0.061,0.0,1.33,2.33,0.96
3599,Kepler-286 e,Kepler-286,29.221289,Transit,0.176,0.0,1.77,3.78,0.96
3602,Kepler-288 b,Kepler-288,6.097326,Transit,0.065,0.0,1.67,3.43,1.03
3603,Kepler-288 c,Kepler-288,19.305772,Transit,0.14,0.0,2.85,8.5,1.03
3604,Kepler-288 d,Kepler-288,56.633742,Transit,0.287,0.0,2.67,7.61,1.03
3605,Kepler-289 b,Kepler-289,34.545,Transit,0.21,0.0,2.15,7.3,1.08
3606,Kepler-289 c,Kepler-289,125.8518,Transit,0.51,0.0,11.59,132.0,1.08
3607,Kepler-289 d,Kepler-289,66.0634,Transit,0.33,,2.68,4.0,1.08
3610,Kepler-290 b,Kepler-290,14.589347,Transit,0.11,0.0,2.25,5.69,0.8
3611,Kepler-290 c,Kepler-290,36.77031,Transit,0.205,0.0,2.7,7.75,0.8
3612,Kepler-290 d,Kepler-290,0.76401755,Transit,0.0154,0.0,0.86,0.566,0.84
3615,Kepler-292 b,Kepler-292,2.580827,Transit,0.035,0.0,1.32,2.3,0.85
3616,Kepler-292 c,Kepler-292,3.715335,Transit,0.045,0.0,1.47,2.76,0.85
3617,Kepler-292 d,Kepler-292,7.055679,Transit,0.068,0.0,2.23,5.6,0.85
3618,Kepler-292 e,Kepler-292,11.97901,Transit,0.097,0.0,2.67,7.61,0.85
3619,Kepler-292 f,Kepler-292,20.834237,Transit,0.141,0.0,2.35,6.12,0.85
3624,Kepler-295 b,Kepler-295,12.645164,Transit,0.099,0.0,1.22,1.98,0.89
3625,Kepler-295 c,Kepler-295,21.526258,Transit,0.142,0.0,1.17,1.71,0.89
3626,Kepler-295 d,Kepler-295,33.884054,Transit,0.192,0.0,1.36,2.42,0.89
3627,Kepler-296 b,Kepler-296,10.864384,Transit,0.079,0.33,1.61,3.22,0.5
3628,Kepler-296 c,Kepler-296,5.8416366,Transit,0.0521,0.33,2.0,4.66,0.5
3629,Kepler-296 d,Kepler-296,19.850291,Transit,0.118,0.33,2.09,5.02,0.5
3630,Kepler-296 e,Kepler-296,34.14211,Transit,0.169,0.33,1.53,2.96,0.5
3631,Kepler-296 f,Kepler-296,63.33627,Transit,0.255,0.33,1.8,3.89,0.5
3632,Kepler-297 b,Kepler-297,38.871826,Transit,0.217,0.0,2.87,48.5,0.98
3633,Kepler-297 c,Kepler-297,74.920137,Transit,0.336,0.0,6.54,42.1,0.98
3634,Kepler-297 d,Kepler-297,150.0189511,Transit,0.523,0.0,32.6,89700.0,0.85
3635,Kepler-298 b,Kepler-298,10.475464,Transit,0.08,0.0,1.96,4.5,0.66
3636,Kepler-298 c,Kepler-298,22.92881,Transit,0.136,0.0,1.93,4.38,0.66
3637,Kepler-298 d,Kepler-298,77.473633,Transit,0.305,0.0,2.5,6.8,0.66
3638,Kepler-299 b,Kepler-299,2.927128,Transit,0.04,0.0,1.32,2.3,0.95
3639,Kepler-299 c,Kepler-299,6.885875,Transit,0.07,0.0,2.65,7.51,0.95
3640,Kepler-299 d,Kepler-299,15.054786,Transit,0.118,0.0,1.86,4.12,0.95
3641,Kepler-299 e,Kepler-299,38.285489,Transit,0.22,0.0,1.87,4.16,0.95
3642,Kepler-30 b,Kepler-30,29.33434,Transit,0.18,0.042,3.9,11.3,0.99
3643,Kepler-30 c,Kepler-30,60.323105,Transit,0.3,0.0111,12.3,640.0,0.99
3644,Kepler-30 d,Kepler-30,143.34394,Transit,0.5,0.022,8.8,23.1,0.99
3647,Kepler-301 b,Kepler-301,2.508553,Transit,0.036,0.0,1.35,2.39,0.98
3648,Kepler-301 c,Kepler-301,5.419026,Transit,0.06,0.0,1.35,2.39,0.98
3649,Kepler-301 d,Kepler-301,13.751243,Transit,0.112,0.0,1.75,3.71,0.98
3654,Kepler-304 b,Kepler-304,3.295709,Transit,0.039,0.0,2.86,8.55,0.8
3655,Kepler-304 c,Kepler-304,5.315946,Transit,0.054,0.0,2.17,5.35,0.8
3656,Kepler-304 d,Kepler-304,9.653471,Transit,0.08,0.0,2.75,8.0,0.8
3657,Kepler-304 e,Kepler-304,1.49914695,Transit,0.0232,0.0,1.2,1.87,0.8
3658,Kepler-305 b,Kepler-305,5.487,Transit,0.0571,0.005,3.6,10.5,0.76
3659,Kepler-305 c,Kepler-305,8.291,Transit,0.0752,0.0,3.3,6.0,0.76
3660,Kepler-305 d,Kepler-305,16.74,Transit,0.1201,0.0,2.76,6.2,0.83
3661,Kepler-305 e,Kepler-305,3.20538,Transit,0.0399,0.0,1.794,3.87,0.82
3662,Kepler-306 b,Kepler-306,4.646186,Transit,0.05,0.0,1.52,2.92,0.81
3663,Kepler-306 c,Kepler-306,7.240193,Transit,0.067,0.0,2.35,6.12,0.81
3664,Kepler-306 d,Kepler-306,17.326644,Transit,0.12,0.0,2.47,6.66,0.81
3665,Kepler-306 e,Kepler-306,44.840975,Transit,0.227,0.0,2.27,5.77,0.81
3672,Kepler-31 b,Kepler-31,20.8613,Transit,0.16,0.0,5.5,25.9,1.21
3673,Kepler-31 c,Kepler-31,42.6318,Transit,0.26,0.0,5.3,1493.7,1.21
3674,Kepler-31 d,Kepler-31,87.6451,Transit,0.4,0.0,3.9,2161.244,1.21
3675,Kepler-310 b,Kepler-310,13.930698,Transit,0.111,0.0,1.19,1.81,0.91
3676,Kepler-310 c,Kepler-310,56.47542,Transit,0.281,0.0,3.38,11.4,0.91
3677,Kepler-310 d,Kepler-310,92.876125,Transit,0.392,0.0,2.47,7.0,0.91
3678,Kepler-311 b,Kepler-311,9.176092,Transit,0.087,0.0,1.7,3.53,1.08
3679,Kepler-311 c,Kepler-311,19.738286,Transit,0.145,0.0,1.43,2.63,1.08
3680,Kepler-311 d,Kepler-311,232.040326,Transit,0.7326,0.0,2.05,4.86,0.97
3695,Kepler-319 b,Kepler-319,4.362705,Transit,0.051,0.0,1.63,3.29,0.96
3696,Kepler-319 c,Kepler-319,6.941357,Transit,0.069,0.0,2.63,7.41,0.96
3697,Kepler-319 d,Kepler-319,31.781925,Transit,0.191,0.0,2.29,5.86,0.96
3698,Kepler-32 b,Kepler-32,5.90124,Transit,0.05,0.0,2.2,1303.0,0.58
3699,Kepler-32 c,Kepler-32,8.7522,Transit,0.09,0.0,2.0,158.9,0.58
3700,Kepler-32 d,Kepler-32,22.7802,Transit,0.13,0.0,2.7,7.75,0.58
3701,Kepler-32 e,Kepler-32,2.896,Transit,0.033,0.0,1.5,2.86,0.58
3702,Kepler-32 f,Kepler-32,0.74296,Transit,0.013,0.0,0.82,0.477,0.58
3711,Kepler-324 b,Kepler-324,4.385315,Transit,0.05,0.0,1.14,1.55,0.87
3712,Kepler-324 c,Kepler-324,51.805612,Transit,0.26,0.0,3.15,10.1,0.87
3713,Kepler-324 e,Kepler-324,13.97939968,Transit,0.1074,0.0,2.039,4.81,0.84
3714,Kepler-325 b,Kepler-325,4.544439,Transit,0.053,0.0,2.91,8.8,0.92
3715,Kepler-325 c,Kepler-325,12.762172,Transit,0.105,0.0,2.54,6.99,0.92
3716,Kepler-325 d,Kepler-325,38.715185,Transit,0.22,0.0,2.79,8.2,0.92
3717,Kepler-326 b,Kepler-326,2.248329,Transit,0.032,0.0,1.52,44.6,0.85
3718,Kepler-326 c,Kepler-326,4.580358,Transit,0.051,0.0,1.4,17.4,0.85
3719,Kepler-326 d,Kepler-326,6.766888,Transit,0.066,0.0,1.21,6.9,0.85
3720,Kepler-327 b,Kepler-327,2.549575,Transit,0.029,0.0,1.11,1.41,0.59
3721,Kepler-327 c,Kepler-327,5.212333,Transit,0.047,0.0,1.03,20.3,0.59
3722,Kepler-327 d,Kepler-327,13.969457,Transit,0.09,0.0,1.73,3.64,0.59
3727,Kepler-33 b,Kepler-33,5.66793,Transit,0.0677,0.0,1.74,3.68,1.29
3728,Kepler-33 c,Kepler-33,13.17562,Transit,0.1189,0.0,3.2,0.39,1.29
3729,Kepler-33 d,Kepler-33,21.77596,Transit,0.1662,0.0,5.35,3.91,1.29
3730,Kepler-33 e,Kepler-33,31.7844,Transit,0.2138,0.0,4.02,5.57,1.29
3731,Kepler-33 f,Kepler-33,41.02902,Transit,0.2535,0.0,4.46,9.6,1.29
3734,Kepler-331 b,Kepler-331,8.457496,Transit,0.065,0.0,1.82,3.97,0.65
3735,Kepler-331 c,Kepler-331,17.28111,Transit,0.105,0.0,1.84,4.04,0.65
3736,Kepler-331 d,Kepler-331,32.134328,Transit,0.159,0.0,1.64,3.33,0.65
3737,Kepler-332 b,Kepler-332,7.626324,Transit,0.07,0.0,1.17,1.71,0.8
3738,Kepler-332 c,Kepler-332,15.995622,Transit,0.114,0.0,1.09,1.32,0.8
3739,Kepler-332 d,Kepler-332,34.21154,Transit,0.189,0.0,1.18,1.76,0.8
3742,Kepler-334 b,Kepler-334,5.470319,Transit,0.061,0.0,1.12,1.46,1.02
3743,Kepler-334 c,Kepler-334,12.758005,Transit,0.107,0.0,1.43,2.63,1.02
3744,Kepler-334 d,Kepler-334,25.09849,Transit,0.168,0.0,1.41,2.57,1.02
3747,Kepler-336 b,Kepler-336,2.024823,Transit,0.033,0.0,1.02,1.04,1.09
3748,Kepler-336 c,Kepler-336,9.600001,Transit,0.092,0.0,2.1,5.06,1.09
3749,Kepler-336 d,Kepler-336,20.678772,Transit,0.154,0.0,2.37,6.21,1.09
3752,Kepler-338 b,Kepler-338,13.726976,Transit,0.117,0.04,2.44,30.6,1.1
3753,Kepler-338 c,Kepler-338,24.310856,Transit,0.172,0.03,2.34,6.08,1.1
3754,Kepler-338 d,Kepler-338,44.431014,Transit,0.257,0.03,3.0,9.27,1.1
3755,Kepler-338 e,Kepler-338,9.341,Transit Timing Variations,0.089744,0.05,1.56,8.5,1.14
3756,Kepler-339 b,Kepler-339,4.977656,Transit,0.055,0.0,1.42,2.6,0.93
3757,Kepler-339 c,Kepler-339,6.988055,Transit,0.069,0.0,1.15,7.3,0.93
3758,Kepler-339 d,Kepler-339,10.558345,Transit,0.091,0.0,1.17,14.7,0.93
3762,Kepler-341 b,Kepler-341,5.195528,Transit,0.06,0.0,1.18,1.76,1.0
3763,Kepler-341 c,Kepler-341,8.01041,Transit,0.08,0.0,1.7,3.53,1.0
3764,Kepler-341 d,Kepler-341,27.666313,Transit,0.182,0.0,1.85,4.08,1.0
3765,Kepler-341 e,Kepler-341,42.473269,Transit,0.242,0.0,1.99,4.62,1.0
3766,Kepler-342 b,Kepler-342,15.170318,Transit,0.128,0.0,2.25,5.69,1.26
3767,Kepler-342 c,Kepler-342,26.234138,Transit,0.185,0.0,1.96,4.5,1.26
3768,Kepler-342 d,Kepler-342,39.459357,Transit,0.242,0.0,2.49,6.76,1.26
3769,Kepler-342 e,Kepler-342,1.64422461,Transit,0.0293,0.0,0.88,0.615,1.26
3778,Kepler-347 b,Kepler-347,12.79836,Transit,0.11,0.0,1.97,4.54,1.05
